"","Year","District","Block","Crop","Yield"
"2836",2015,"D8","B82","Bajra",2279
"2837",2015,"D8","B83","Bajra",2279
"2838",2015,"D8","B84","Bajra",2809
"2839",2015,"D8","B85","Bajra",1801
"2849",2015,"D14","B6","Bajra",1762
"2850",2015,"D14","B95","Bajra",1762
"2851",2015,"D14","B96","Bajra",1762
"2858",2015,"D7","B103","Bajra",2046
"2859",2015,"D7","B104","Bajra",1360
"2860",2015,"D7","B105","Bajra",1739
"2861",2015,"D7","B106","Bajra",1989
"2862",2015,"D7","B107","Bajra",1843
"2863",2015,"D7","B108","Bajra",2593
"2864",2015,"D7","B109","Bajra",1603
"2865",2015,"D11","B110","Bajra",2153
"2866",2015,"D11","B121","Bajra",1538
"2867",2015,"D11","B122","Bajra",1894
"2868",2015,"D11","B111","Bajra",921
"2869",2015,"D11","B123","Bajra",1196
"2870",2015,"D11","B112","Bajra",1540
"2871",2015,"D11","B113","Bajra",1540
"2872",2015,"D11","B114","Bajra",1540
"2873",2015,"D16","B115","Bajra",2025
"2874",2015,"D16","B116","Bajra",1612
"2875",2015,"D16","B117","Bajra",2631
"2876",2015,"D16","B118","Bajra",1965
"2877",2015,"D16","B119","Bajra",2541
"3732",2016,"D22","B1","Bajra",1732
"3733",2016,"D22","B120","Bajra",1724
"3734",2016,"D22","B3","Bajra",1529
"3735",2016,"D22","B4","Bajra",1972
"3736",2016,"D22","B5","Bajra",1829
"3737",2016,"D22","B6","Bajra",2117
"3738",2016,"D22","B7","Bajra",2165
"3739",2016,"D22","B8","Bajra",2272
"3740",2016,"D22","B9","Bajra",2187
"3741",2016,"D4","B10","Bajra",1708
"3742",2016,"D4","B11","Bajra",2519
"3743",2016,"D4","B12","Bajra",2449
"3744",2016,"D4","B13","Bajra",2224
"3745",2016,"D4","B14","Bajra",2669
"3746",2016,"D4","B15","Bajra",2213
"3747",2016,"D18","B16","Bajra",1996
"3748",2016,"D18","B17","Bajra",2015
"3749",2016,"D18","B18","Bajra",2356
"3750",2016,"D18","B19","Bajra",2558
"3751",2016,"D18","B20","Bajra",2116
"3752",2016,"D18","B21","Bajra",2942
