"","Year","District","Block","Crop","Yield"
"3517",2016,"D1","B30","Barley",2661
"3518",2016,"D1","B31","Barley",3124
"3519",2016,"D1","B32","Barley",3715
"3520",2016,"D17","B33","Barley",1455
"3521",2016,"D17","B34","Barley",2790
"3522",2016,"D17","B35","Barley",3535
"3523",2016,"D17","B36","Barley",2469
"3524",2016,"D17","B37","Barley",3077
"3525",2016,"D6","B38","Barley",3913
"3526",2016,"D6","B39","Barley",3316
"3527",2016,"D6","B40","Barley",4599
"3528",2016,"D6","B41","Barley",4746
"3529",2016,"D6","B42","Barley",3806
"3531",2016,"D19","B44","Barley",3896
"3532",2016,"D19","B45","Barley",3896
"3537",2016,"D5","B50","Barley",3397
"3538",2016,"D5","B51","Barley",5233
"3539",2016,"D5","B52","Barley",3415
"3540",2016,"D5","B53","Barley",5457
"3541",2016,"D12","B54","Barley",3206
"3542",2016,"D12","B55","Barley",3974
"3543",2016,"D12","B56","Barley",3294
"3544",2016,"D12","B57","Barley",3259
"3545",2016,"D12","B58","Barley",4056
"3546",2016,"D3","B60","Barley",3658
"3547",2016,"D3","B61","Barley",3658
"3548",2016,"D13","B62","Barley",3285
"3549",2016,"D13","B63","Barley",3837
"3550",2016,"D13","B64","Barley",2965
"3551",2016,"D13","B65","Barley",2319
"3560",2016,"D9","B74","Barley",3658
"3571",2016,"D8","B85","Barley",3009
"3572",2016,"D8","B86","Barley",2839
"3583",2016,"D14","B96","Barley",574
"3590",2016,"D7","B103","Barley",3746
"3591",2016,"D7","B104","Barley",3659
"3595",2016,"D7","B108","Barley",3870
"3596",2016,"D7","B109","Barley",3820
"3597",2016,"D11","B110","Barley",3956
"3598",2016,"D11","B111","Barley",3129
"3599",2016,"D11","B123","Barley",3279
"3600",2016,"D11","B112","Barley",4269
"3601",2016,"D11","B113","Barley",3564
"3604",2016,"D11","B114","Barley",2721
"3605",2016,"D16","B115","Barley",4969
"3606",2016,"D16","B116","Barley",3365
"3607",2016,"D16","B117","Barley",4794
"3608",2016,"D16","B118","Barley",4435
"3609",2016,"D16","B119","Barley",4761
