"","Year","District","Block","Crop","Yield"
"4111",2016,"D4","B14","Cotton",601
"4112",2016,"D4","B15","Cotton",650
"4113",2016,"D18","B16","Cotton",742
"4114",2016,"D18","B17","Cotton",622
"4115",2016,"D18","B18","Cotton",717
"4116",2016,"D18","B19","Cotton",679
"4117",2016,"D18","B20","Cotton",610
"4118",2016,"D18","B21","Cotton",724
"4119",2016,"D18","B22","Cotton",756
"4120",2016,"D1","B23","Cotton",524
"4121",2016,"D1","B24","Cotton",462
"4122",2016,"D1","B25","Cotton",641
"4123",2016,"D1","B26","Cotton",516
"4124",2016,"D1","B27","Cotton",517
"4125",2016,"D1","B28","Cotton",564
"4126",2016,"D1","B29","Cotton",442
"4127",2016,"D1","B30","Cotton",608
"4128",2016,"D1","B31","Cotton",450
"4129",2016,"D1","B32","Cotton",497
"4130",2016,"D17","B33","Cotton",295
"4131",2016,"D17","B34","Cotton",493
"4132",2016,"D17","B35","Cotton",499
"4133",2016,"D17","B36","Cotton",235
"4134",2016,"D17","B37","Cotton",341
"4135",2016,"D6","B38","Cotton",504
"4136",2016,"D6","B39","Cotton",601
"4137",2016,"D6","B40","Cotton",648
"4138",2016,"D6","B41","Cotton",478
"4139",2016,"D6","B42","Cotton",484
"4140",2016,"D19","B43","Cotton",645
"4141",2016,"D19","B44","Cotton",627
"4142",2016,"D19","B45","Cotton",591
"4143",2016,"D19","B46","Cotton",592
"4144",2016,"D19","B47","Cotton",542
"4145",2016,"D19","B48","Cotton",641
"4146",2016,"D19","B49","Cotton",603
"4148",2016,"D5","B51","Cotton",170
"4149",2016,"D5","B52","Cotton",406
"4150",2016,"D5","B53","Cotton",272
"4151",2016,"D12","B54","Cotton",494
"4152",2016,"D12","B55","Cotton",360
"4153",2016,"D12","B56","Cotton",225
"4154",2016,"D12","B57","Cotton",714
"4155",2016,"D12","B58","Cotton",461
"4157",2016,"D3","B61","Cotton",1003
"4158",2016,"D13","B62","Cotton",578
"4159",2016,"D13","B63","Cotton",413
"4160",2016,"D13","B64","Cotton",548
"4161",2016,"D13","B65","Cotton",492
"4171",2016,"D9","B75","Cotton",609
"4178",2016,"D8","B82","Cotton",190
"4179",2016,"D8","B83","Cotton",579
"4180",2016,"D8","B84","Cotton",537
"4181",2016,"D8","B85","Cotton",423
"4200",2016,"D7","B103","Cotton",395
"4201",2016,"D7","B104","Cotton",484
"4202",2016,"D7","B105","Cotton",429
"4203",2016,"D7","B106","Cotton",400
"4204",2016,"D7","B107","Cotton",394
"4205",2016,"D7","B108","Cotton",580
"4206",2016,"D7","B109","Cotton",658
"4207",2016,"D11","B110","Cotton",599
"4208",2016,"D11","B111","Cotton",545
"4209",2016,"D11","B123","Cotton",659
"4210",2016,"D11","B112","Cotton",698
"4211",2016,"D11","B113","Cotton",597
"4212",2016,"D11","B122","Cotton",588
"4213",2016,"D11","B121","Cotton",588
"4214",2016,"D11","B114","Cotton",588
"4215",2016,"D16","B115","Cotton",443
"4216",2016,"D16","B116","Cotton",432
"4217",2016,"D16","B117","Cotton",444
"4218",2016,"D16","B118","Cotton",570
"4219",2016,"D16","B119","Cotton",458
