"","X","Year","District","Block","Crop","Yield"
"234",474,2013,"Mahendergarh","Mahendergarh","Wheat",1.20923844908006
"235",475,2013,"Mahendergarh","Ateli","Wheat",1.565163544331
"236",476,2013,"Mahendergarh","Narnaul","Wheat",0.299026841857313
"237",477,2013,"Mahendergarh","Nangal Chaudhary","Wheat",0.128801796302517
"238",478,2013,"Rewari","Rewari","Wheat",-0.214461931923684
"239",479,2013,"Rewari","Khol","Wheat",0.868788357970473
"240",480,2013,"Rewari","Jatusana","Wheat",0.801261067171876
"241",481,2013,"Rewari","Bawal","Wheat",1.25988391717901
"242",482,2013,"Rewari","Nahar","Wheat",1.33303848221083
"243",1337,2014,"Hisar","Hansi I","Wheat",-0.473316546651638
"244",1338,2014,"Hisar","Hansi-II","Wheat",-0.902396206934388
"245",1339,2014,"Hisar","Narnaund","Wheat",-1.08668943807222
"246",1340,2014,"Hisar","Hisar I","Wheat",-0.357957424870702
"247",1341,2014,"Hisar","Hisar II","Wheat",-0.104730084375964
"248",1342,2014,"Hisar","Barwala","Wheat",0.403131415171816
"249",1343,2014,"Hisar","Uklana","Wheat",-0.190546016432514
"250",1344,2014,"Hisar","Agroha","Wheat",0.0809699653201773
"251",1345,2014,"Hisar","Adampur","Wheat",0.704190586648893
"252",1346,2014,"Fatehabad","Ratia","Wheat",1.33303848221083
"253",1347,2014,"Fatehabad","Fatehabad","Wheat",0.840651986804391
"254",1348,2014,"Fatehabad","Bhattukalan","Wheat",0.587424646309653
"255",1349,2014,"Fatehabad","Bhuna","Wheat",0.559288275143571
"256",1350,2014,"Fatehabad","Tohana","Wheat",-0.494418825026199
"257",1351,2014,"Fatehabad","Jakhal","Wheat",0.484726891553454
"258",1352,2014,"Sirsa","Sirsa","Wheat",0.369367769772518
"259",1353,2014,"Sirsa","Nathusari","Wheat",0.794226974380355
"260",1354,2014,"Sirsa","Baragudha","Wheat",0.472065524528717
"261",1355,2014,"Sirsa","Rania","Wheat",0.228685913942108
"262",1356,2014,"Sirsa","Ellenabad","Wheat",0.322942757348482
"263",1357,2014,"Sirsa","Dabwali","Wheat",0.652138299991641
"264",1358,2014,"Sirsa","Odhan","Wheat",0.469251887412109
"265",1359,2014,"Bhiwani","Loharu","Wheat",-1.00368714313228
"266",1360,2014,"Bhiwani","Bhiwani","Wheat",-0.681525693280644
"267",1361,2014,"Bhiwani","Tosham","Wheat",0.0457995013625748
"268",1362,2014,"Bhiwani","Bawani Khera","Wheat",-0.847530283160528
"269",1363,2014,"Bhiwani","Dadri-I","Wheat",-1.44824180755638
"270",1364,2014,"Bhiwani","Dadri-II","Wheat",-0.125832362750525
"271",1365,2014,"Bhiwani","Badhra","Wheat",-1.04729851843971
"272",1366,2014,"Bhiwani","Siwani","Wheat",-0.868632561535089
"273",1367,2014,"Bhiwani","Kairu","Wheat",-0.715289338679943
"274",1368,2014,"Bhiwani","Behal","Wheat",-0.172257375174561
"275",1369,2014,"Rohtak","Lakhan Majra","Wheat",-2.06583515465188
"276",1370,2014,"Rohtak","Rohtak","Wheat",-1.04589169988141
"277",1371,2014,"Rohtak","Sampla","Wheat",-0.455027905393684
"278",1372,2014,"Rohtak","Meham","Wheat",-1.56500774789562
"279",1373,2014,"Rohtak","Kalanaur","Wheat",-1.17109855157047
"280",1374,2014,"Jhajjar","Jhajjar","Wheat",-1.56782138501223
"281",1375,2014,"Jhajjar","Beri","Wheat",-0.767341625337194
"282",1376,2014,"Jhajjar","Salhawas","Wheat",-1.51295546123837
"283",1377,2014,"Jhajjar","Matanhail","Wheat",-0.200393746340643
"284",1378,2014,"Jhajjar","Bahadurgarh","Wheat",-0.636507499414913
"285",1379,2014,"Sonepat","Sonepat","Wheat",-0.678712056164036
"286",1380,2014,"Sonepat","Rai","Wheat",-1.34273041568357
"287",1381,2014,"Sonepat","Kharkhoda","Wheat",-0.853157557393744
"288",1382,2014,"Sonepat","Gohana","Wheat",-0.654796140672867
"289",1383,2014,"Sonepat","Kathura","Wheat",-0.253852851556198
"290",1384,2014,"Sonepat","Mundlana","Wheat",-1.3511713270334
"291",1385,2014,"Sonepat","Ganaur","Wheat",-0.950228037916727
"292",1386,2014,"Gurgaon","Gurgaon","Wheat",-2.40487842720317
"293",1387,2014,"Gurgaon","Farrukh Nagar","Wheat",-1.39900315801573
"294",1388,2014,"Gurgaon","Sohna","Wheat",-2.51601709330919
"295",1389,2014,"Gurgaon","Pataudi","Wheat",-0.515521103400761
"296",1390,2014,"Mewat","Nuh","Wheat",-2.47803299223498
"297",1391,2014,"Mewat","Tauru","Wheat",-0.18913919787421
"298",1392,2014,"Mewat","Ferozpur Jhirka","Wheat",-1.25691448362702
"299",1393,2014,"Mewat","Nagina","Wheat",-1.55375319942919
"300",1394,2014,"Mewat","Punhana","Wheat",-1.91671238747164
"301",1395,2014,"Faridabad","Faridabad","Wheat",-0.964296223499768
"302",1396,2014,"Faridabad","B/garh","Wheat",-1.89561010909708
"303",1397,2014,"Palwal","Palwal","Wheat",-1.08668943807222
"304",1398,2014,"Palwal","Hodal","Wheat",-1.81401463271544
"305",1399,2014,"Palwal","Hassanpur","Wheat",-0.967109860616376
"306",1400,2014,"Palwal","Hathin","Wheat",-1.85621918946457
"307",1401,2014,"Panipat","Panipat","Wheat",-1.85621918946457
"308",1402,2014,"Panipat","Samalkha","Wheat",-0.760307532545674
"309",1403,2014,"Panipat","Matlauda","Wheat",-1.11060535356339
"310",1404,2014,"Panipat","Bapoli","Wheat",-1.10919853500509
"311",1405,2014,"Panipat","Israna","Wheat",-1.17672582580369
"312",1406,2014,"Karnal","Karnal","Wheat",-0.457841542510293
"313",1407,2014,"Karnal","Nissing","Wheat",-0.719509794354855
"314",1408,2014,"Karnal","Indri","Wheat",0.0992586065781305
"315",1409,2014,"Karnal","Gharaunda","Wheat",-0.687152967513861
"316",1410,2014,"Karnal","Assandh","Wheat",-0.599930216899007
"317",1411,2014,"Karnal","Nilokheri","Wheat",-0.30590513821345
"318",1412,2014,"Kurukshetra","Thanesar","Wheat",-0.400161981619825
"319",1413,2014,"Kurukshetra","Shahabad","Wheat",-0.495825643584503
"320",1414,2014,"Kurukshetra","Pehowa","Wheat",-0.920684848192341
"321",1415,2014,"Kurukshetra","Ladwa","Wheat",0.0261040415463174
"322",1416,2014,"Kurukshetra","Babain","Wheat",0.372181406889126
"323",1417,2014,"Kaithal","Kaithal","Wheat",-0.0400164306939753
"324",1418,2014,"Kaithal","Pundri","Wheat",-0.224309661831812
"325",1419,2014,"Kaithal","Kalayat","Wheat",-0.0259482451109343
"326",1420,2014,"Kaithal","Rajound","Wheat",-1.21189628976129
"327",1421,2014,"Kaithal","Gulha","Wheat",-0.24400512164807
"328",1422,2014,"Kaithal","Siwan","Wheat",1.08684523450761
"329",1423,2014,"Ambala","Ambala-I","Wheat",-0.902396206934388
"330",1424,2014,"Ambala","Ambala-II","Wheat",-0.815173456319534
"331",1425,2014,"Ambala","Barara","Wheat",-1.54249865096275
"332",1426,2014,"Ambala","Saha","Wheat",-0.806732544969709
"333",1427,2014,"Ambala","Naraingarh","Wheat",-0.951634856475031
"334",1428,2014,"Ambala","Sahazadpur","Wheat",-0.633693862298305
"335",1429,2014,"Panchkula","Morni","Wheat",-3.47687416863089
"336",1430,2014,"Panchkula","Barwala","Wheat",-1.71272369651755
"337",1431,2014,"Panchkula","Raipurrani","Wheat",-1.66348504697691
"338",1432,2014,"Panchkula","Pinjore","Wheat",-1.58892366338679
"339",1433,2014,"Yamuna Nagar","Jagadhari","Wheat",-0.50848701060924
"340",1434,2014,"Yamuna Nagar","Bilaspur","Wheat",-1.33569632289205
"341",1435,2014,"Yamuna Nagar","Radaur","Wheat",-0.0259482451109343
"342",1436,2014,"Yamuna Nagar","Sadaura","Wheat",-1.12326672058813
"343",1437,2014,"Yamuna Nagar","Chhachhrauli","Wheat",-1.05011215555632
"344",1438,2014,"Yamuna Nagar","Mustafabad","Wheat",-0.397348344503216
"345",1439,2014,"Jind","Jind","Wheat",-1.03604396997328
"346",1440,2014,"Jind","Julana","Wheat",-0.916464392517429
"347",1441,2014,"Jind","Alewa","Wheat",-1.23299856813585
"348",1442,2014,"Jind","Safidon","Wheat",-1.22033720111111
"349",1443,2014,"Jind","Pillukhera","Wheat",-1.84355782243983
"350",1444,2014,"Jind","Uchana","Wheat",-0.664643870580995
"351",1445,2014,"Jind","Narwana","Wheat",-0.414230167202866
"352",1446,2014,"Mahendergarh","Kanina","Wheat",-0.9066166626093
"353",1447,2014,"Mahendergarh","Mahendergarh","Wheat",-0.512707466284153
"354",1448,2014,"Mahendergarh","Ateli","Wheat",0.801261067171876
"355",1449,2014,"Mahendergarh","Narnaul","Wheat",0.744988324839712
"356",1450,2014,"Mahendergarh","Nangal Chaudhary","Wheat",-0.184918742199297
"357",1451,2014,"Rewari","Rewari","Wheat",-0.917871211075733
"358",1452,2014,"Rewari","Khol","Wheat",0.0851904209950895
"359",1453,2014,"Rewari","Jatusana","Wheat",-1.61706003455287
"360",1454,2014,"Rewari","Bawal","Wheat",-0.38468697747848
"361",1455,2014,"Rewari","Nahar","Wheat",-2.35563977766252
"362",2289,2015,"Hisar","Hansi I","Wheat",0.725292865023455
"363",2290,2015,"Hisar","Hansi-II","Wheat",-0.124425544192221
"364",2291,2015,"Hisar","Narnaund","Wheat",0.507235988486319
"365",2292,2015,"Hisar","Hisar I","Wheat",0.491760984344974
"366",2293,2015,"Hisar","Hisar II","Wheat",0.442522334804331
"367",2294,2015,"Hisar","Barwala","Wheat",0.590238283426261
"368",2295,2015,"Hisar","Uklana","Wheat",0.0415790456876625
"369",2296,2015,"Hisar","Agroha","Wheat",0.377808681122342
"370",2297,2015,"Hisar","Adampur","Wheat",0.360926858422693
"371",2298,2015,"Fatehabad","Ratia","Wheat",0.705597405207197
"372",2299,2015,"Fatehabad","Fatehabad","Wheat",0.425640512104681
"373",2300,2015,"Fatehabad","Bhattukalan","Wheat",-0.00484596673637279
"374",2301,2015,"Fatehabad","Bhuna","Wheat",-0.187732379315906
"375",2302,2015,"Fatehabad","Tohana","Wheat",0.296213204740704
"376",2303,2015,"Fatehabad","Jakhal","Wheat",-0.0667459833017531
"377",2304,2015,"Sirsa","Sirsa","Wheat",0.715445135115326
"378",2305,2015,"Sirsa","Nathusari","Wheat",0.674647396924507
"379",2306,2015,"Sirsa","Baragudha","Wheat",0.820956526988133
"380",2307,2015,"Sirsa","Rania","Wheat",0.72388604646515
"381",2308,2015,"Sirsa","Ellenabad","Wheat",0.837838349687782
"382",2309,2015,"Sirsa","Dabwali","Wheat",0.5691360050517
"383",2310,2015,"Sirsa","Odhan","Wheat",0.310281390323745
"384",2311,2015,"Bhiwani","Loharu","Wheat",0.815329252754917
"385",2312,2015,"Bhiwani","Bhiwani","Wheat",-0.70403479021351
"386",2313,2015,"Bhiwani","Tosham","Wheat",-0.30590513821345
"387",2314,2015,"Bhiwani","Bawani Khera","Wheat",-0.0512709791604081
"388",2315,2015,"Bhiwani","Dadri-I","Wheat",-0.418450622877778
"389",2316,2015,"Bhiwani","Dadri-II","Wheat",-0.663237052022691
"390",2317,2015,"Bhiwani","Badhra","Wheat",-0.950228037916727
"391",2318,2015,"Bhiwani","Siwani","Wheat",-0.965703042058072
"392",2319,2015,"Bhiwani","Kairu","Wheat",-0.425484715669298
